hlnum,ctermfg,ctermbg,guifg,guibg
1,black,magenta,black,IndianRed
2,black,green,black,chartreuse
3,black,cyan,black,DeepSkyBlue
4,white,DarkRed,white,firebrick
5,white,DarkGreen,white,DarkGreen
6,white,DarkBlue,white,DarkSlateBlue
7,,,black,thistle
8,,,black,burlywood
9,,,black,PowderBlue
11,,,black,peru
12,,,black,DarkSeaGreen
13,,,black,SteelBlue
14,,,black,DarkOrange
15,,,black,DarkOliveGreen
16,,,black,SlateGray
17,,,red,grey20
18,,,green,grey20
19,,,CornflowerBlue,grey20
21,,,red,grey40
22,,,green,grey40
23,,,blue,grey40
24,,,red,grey70
25,,,DarkGreen,grey70
26,,,blue,grey70
27,red,,red,
28,green,,green,
29,blue,,blue,
